,name,prices,rating,url
64,SPARTAN V2 Open Air GPU Mining Rig Frame Computer Case Chassis - Ethereum ETH Zcash ZEC Monero XMR,{},3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A0429215YE0KI31IN138&url=https%3A%2F%2Fwww.amazon.com%2FSPARTAN-Mining-Frame-Computer-Chassis%2Fdp%2FB0764MTTS3%2Fref%3Dsr_1_65_sspa%2F130-9212314-3728500%3Fie%3DUTF8%26qid%3D1531724490%26sr%3D8-65-spons%26keywords%3DGPU%26psc%3D1&qualifier=1531724490&id=6870055948253559&widgetName=sp_atf_next
65,Sonnet eGFX Breakaway Puck Radeon RX 570 (Mac & Windows Compatible),{},4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_2?ie=UTF8&adId=A03478753BOU3KPEBTZHZ&url=https%3A%2F%2Fwww.amazon.com%2FSonnet-Breakaway-Radeon-Windows-Compatible%2Fdp%2FB076MHMF3V%2Fref%3Dsr_1_66_sspa%2F130-9212314-3728500%3Fie%3DUTF8%26qid%3D1531724490%26sr%3D8-66-spons%26keywords%3DGPU%26psc%3D1&qualifier=1531724490&id=6870055948253559&widgetName=sp_atf_next
66,"PCIE Riser 1X TO 16X Graphics Extension for GPU Mining Powered Riser Adapter Card, 60cm USB 3.0 Cable, 4 Solid Capacitors, Two 6PIN and Molex 3 Power Options (VER 009S, 6-Pack)",{},4.4 out of 5 stars,https://www.amazon.com/Graphics-Extension-Powered-Adapter-Capacitors/dp/B077JYBDYT/ref=sr_1_67/130-9212314-3728500?ie=UTF8&qid=1531724490&sr=8-67&keywords=GPU
67,"13 GPU Bitcoin Mining Rig Case – 12 Fans Pre-Installed – Dual PSU Compatible, Built-in HDMI Extension for Easy Monitor Output – Comes with 13 PCI-E 16x to 1x Risers (Ethereum, ETH, Zcash)",{},5 out of 5 stars,https://www.amazon.com/Bitcoin-Mining-Case-Built-PCI/dp/B078PY6D4T/ref=sr_1_68/130-9212314-3728500?ie=UTF8&qid=1531724490&sr=8-68&keywords=GPU
68,Stackable Mining Case Rig Open Air Frame For ETH/ETC/ ZCash,{},,https://www.amazon.com/Stackable-Mining-Case-Frame-ZCash/dp/B079C8YGCJ/ref=sr_1_69/130-9212314-3728500?ie=UTF8&qid=1531724490&sr=8-69&keywords=GPU
69,EVGA 1GB GeForce 8400 GS DirectX 10 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card Model 01G-P3-1302-LR,{},4.2 out of 5 stars,https://www.amazon.com/EVGA-GeForce-DirectX-Express-01G-P3-1302-LR/dp/B0049MPQA4/ref=sr_1_70/130-9212314-3728500?ie=UTF8&qid=1531724490&sr=8-70&keywords=GPU
70,"VICTONY 6-Pack PCIe Riser Mining Card 6-Pin PCI-E 16x to 1x GPU Riser Adapter 60cm USB 3.0 Riser Cable Flex Flexible Extension Cable & MOLEX to SATA Power Cable,Powered Riser Adapter Card",{},5 out of 5 stars,https://www.amazon.com/VICTONY-Adapter-Flexible-Extension-Powered/dp/B07DZZV33L/ref=sr_1_71/130-9212314-3728500?ie=UTF8&qid=1531724490&sr=8-71&keywords=GPU
71,MSI Gaming GeForce GTX 1070 8GB GDDR5 SLI DirectX 12 VR Ready Graphics Card (GTX 1070 ARMOR 8G OC),{'Base price': ['Suggested Retail Price: $469.99']},4.6 out of 5 stars,https://www.amazon.com/MSI-GTX-1070-ARMOR-8G/dp/B01GXOX2BU/ref=sr_1_72/130-9212314-3728500?ie=UTF8&qid=1531724490&sr=8-72&keywords=GPU
72,"8 GPU Mining Rig With 7 Extreme Airflow Case Fan, Aluminum Stackable Miner Case Open Air Frame Unassembled Kit For ETH/ETC/ZCash Ethereum,Bitcoin,and Altcoins(Classic)",{},5 out of 5 stars,https://www.amazon.com/Aluminum-Stackable-Unassembled-Ethereum-Altcoins/dp/B0799FDKLW/ref=sr_1_73/130-9212314-3728500?ie=UTF8&qid=1531724490&sr=8-73&keywords=GPU
73,Gigabyte GeForce GTX 1080 Windforce OC GV-N1080WF3OC-8GD Graphics Cards,{'Base price': ['Suggested Retail Price: $579.99']},4.2 out of 5 stars,https://www.amazon.com/Gigabyte-GeForce-Windforce-GV-N1080WF3OC-8GD-Graphics/dp/B01IR6LMLO/ref=sr_1_74/130-9212314-3728500?ie=UTF8&qid=1531724490&sr=8-74&keywords=GPU
74,NVIDIA Tesla M60 GPU computing processor - 2 GPUs - Tesla M60 - 16 GB - By NETCNA,{},,https://www.amazon.com/NVIDIA-Tesla-M60-computing-processor/dp/B01LB8U6VW/ref=sr_1_75/130-9212314-3728500?ie=UTF8&qid=1531724490&sr=8-75&keywords=GPU
